user_id,session_id,timestamp,hour_of_day,day_of_week,agent_used,task_type,interaction_duration,completion_status,priority_level,response_time,feedback_score,language,sentiment_score,follow_up_required
U024,S100,2025-02-01 08:10:00,8,5,Calendar Agent,Send Confirmation,506,In Progress,High,5,4.8,German,-0.11,No
U015,S101,2025-02-01 17:08:00,17,5,Calendar Agent,Send Confirmation,159,Completed,Medium,2,4.1,Spanish,-0.18,No
U040,S102,2025-02-01 17:03:00,17,5,Task Management,Assign Task,363,Failed,Medium,2,4.7,Spanish,-0.17,Yes
U001,S103,2025-02-01 09:31:00,9,5,Executive Assistant,Send Email,230,Failed,High,6,4.5,English,-0.55,No
U029,S104,2025-02-02 02:48:00,2,6,Executive Assistant,Send Email,307,In Progress,High,4,3.6,French,0.23,Yes
U027,S105,2025-02-01 14:35:00,14,5,Executive Assistant,Send Email,74,Failed,High,7,4.6,English,0.64,Yes
U047,S106,2025-02-01 17:19:00,17,5,Executive Assistant,Send Email,291,Failed,High,6,3.3,English,-0.06,No
U015,S107,2025-02-01 21:28:00,21,5,Executive Assistant,Send Email,425,Failed,Low,6,3.9,French,0.4,Yes
U042,S108,2025-02-01 18:52:00,18,5,Task Management,Send Reminder,553,Completed,Low,3,4.3,French,-0.29,Yes
U025,S109,2025-02-01 21:18:00,21,5,Executive Assistant,Send Email,574,Completed,Low,4,3.3,Spanish,0.86,No
U007,S110,2025-02-01 19:47:00,19,5,Calendar Agent,Resolve Conflict,270,In Progress,High,5,5.0,Spanish,-0.71,Yes
U032,S111,2025-02-01 12:23:00,12,5,Task Management,Assign Task,277,Completed,High,5,4.6,Chinese,0.11,Yes
U007,S112,2025-02-02 05:12:00,5,6,Executive Assistant,Send Email,81,In Progress,High,3,3.7,Chinese,0.91,Yes
U006,S113,2025-02-01 17:59:00,17,5,Task Management,Send Reminder,77,Failed,Medium,4,3.6,French,0.86,No
U002,S114,2025-02-01 14:29:00,14,5,Calendar Agent,Resolve Conflict,513,Completed,Low,4,4.4,Chinese,0.66,No
U005,S115,2025-02-02 05:06:00,5,6,Task Management,Track Progress,417,Completed,Low,4,4.8,English,-0.13,Yes
U049,S116,2025-02-02 03:06:00,3,6,Executive Assistant,Send Email,352,Completed,Medium,5,3.8,English,0.39,No
U018,S117,2025-02-01 15:52:00,15,5,Task Management,Assign Task,393,Completed,High,6,4.9,English,-0.56,Yes
U007,S118,2025-02-01 10:03:00,10,5,Task Management,Track Progress,232,In Progress,Medium,9,4.0,Spanish,-0.41,No
U030,S119,2025-02-02 03:50:00,3,6,Task Management,Send Reminder,310,In Progress,Low,7,4.9,English,0.97,Yes
U035,S120,2025-02-01 20:49:00,20,5,Task Management,Send Reminder,286,Failed,Low,6,3.6,English,0.31,No
U030,S121,2025-02-01 08:23:00,8,5,Task Management,Track Progress,572,Completed,Low,4,4.1,English,0.93,No
U014,S122,2025-02-01 22:41:00,22,5,Calendar Agent,Resolve Conflict,549,In Progress,High,1,4.4,German,0.3,No
U048,S123,2025-02-01 11:26:00,11,5,Calendar Agent,Update Event,256,Completed,High,1,3.2,French,-0.58,Yes
U041,S124,2025-02-01 21:03:00,21,5,Task Management,Send Reminder,163,Completed,High,10,4.0,Chinese,0.14,No
U002,S125,2025-02-01 09:08:00,9,5,Task Management,Send Reminder,488,In Progress,Low,5,4.8,German,0.58,No
U037,S126,2025-02-01 21:51:00,21,5,Executive Assistant,Schedule Meeting,257,Completed,Low,3,4.0,French,0.51,Yes
U002,S127,2025-02-01 09:35:00,9,5,Task Management,Send Reminder,117,Completed,High,3,4.3,Spanish,0.18,No
U032,S128,2025-02-02 03:02:00,3,6,Calendar Agent,Resolve Conflict,549,Failed,Low,10,3.1,English,0.83,No
U017,S129,2025-02-01 23:53:00,23,5,Calendar Agent,Update Event,560,Failed,Low,8,4.4,Chinese,0.36,No
U027,S130,2025-02-01 21:05:00,21,5,Calendar Agent,Send Confirmation,361,In Progress,Medium,9,3.9,Spanish,-0.58,No
U012,S131,2025-02-01 17:34:00,17,5,Calendar Agent,Update Event,63,Failed,Medium,7,3.5,French,0.76,Yes
U015,S132,2025-02-01 13:23:00,13,5,Executive Assistant,Generate Summary,261,Failed,Medium,6,4.1,German,-0.21,Yes
U006,S133,2025-02-02 03:46:00,3,6,Executive Assistant,Generate Summary,225,Completed,Low,7,3.3,English,-0.27,No
U048,S134,2025-02-01 14:26:00,14,5,Task Management,Assign Task,473,In Progress,High,5,4.3,Spanish,-0.63,No
U034,S135,2025-02-01 15:41:00,15,5,Calendar Agent,Send Confirmation,85,Failed,High,5,3.8,English,-0.6,Yes
U037,S136,2025-02-01 20:49:00,20,5,Calendar Agent,Update Event,208,In Progress,Low,4,4.9,French,-0.08,No
U006,S137,2025-02-01 17:21:00,17,5,Executive Assistant,Send Email,574,Completed,High,2,3.3,English,-0.88,No
U007,S138,2025-02-01 09:12:00,9,5,Calendar Agent,Update Event,535,Failed,Medium,3,3.3,Chinese,0.06,No
U048,S139,2025-02-02 04:43:00,4,6,Task Management,Track Progress,514,Failed,Medium,10,4.8,Chinese,-0.2,Yes
U040,S140,2025-02-02 04:21:00,4,6,Task Management,Send Reminder,160,In Progress,Low,8,4.4,Chinese,-0.87,Yes
U005,S141,2025-02-01 15:13:00,15,5,Calendar Agent,Update Event,280,Completed,High,5,3.0,German,-0.2,Yes
U040,S142,2025-02-01 19:09:00,19,5,Task Management,Send Reminder,97,Failed,Medium,9,3.5,English,0.48,Yes
U012,S143,2025-02-01 18:35:00,18,5,Calendar Agent,Update Event,536,In Progress,High,1,4.2,Spanish,0.93,Yes
U005,S144,2025-02-01 15:13:00,15,5,Executive Assistant,Schedule Meeting,520,Failed,High,7,3.2,English,0.59,Yes
U006,S145,2025-02-01 19:31:00,19,5,Calendar Agent,Send Confirmation,465,Completed,High,1,4.9,Spanish,0.63,No
U045,S146,2025-02-01 17:28:00,17,5,Calendar Agent,Update Event,448,Completed,Low,1,3.7,French,0.71,No
U001,S147,2025-02-02 07:31:00,7,6,Calendar Agent,Resolve Conflict,570,Failed,Low,1,3.8,English,0.27,Yes
U009,S148,2025-02-02 00:57:00,0,6,Task Management,Send Reminder,469,Completed,High,3,3.4,German,-0.56,No
U026,S149,2025-02-02 03:55:00,3,6,Executive Assistant,Generate Summary,77,In Progress,Medium,5,4.6,Chinese,0.17,No
U011,S150,2025-02-01 08:20:00,8,5,Calendar Agent,Send Confirmation,483,Completed,Low,4,4.9,Spanish,-0.86,No
U029,S151,2025-02-02 07:48:00,7,6,Task Management,Track Progress,281,In Progress,High,2,4.1,Spanish,-0.11,No
U015,S152,2025-02-01 18:28:00,18,5,Task Management,Assign Task,67,Completed,Low,7,3.2,Spanish,-0.65,Yes
U004,S153,2025-02-01 11:57:00,11,5,Calendar Agent,Resolve Conflict,440,Failed,Medium,8,5.0,English,0.21,No
U029,S154,2025-02-01 15:39:00,15,5,Executive Assistant,Send Email,338,In Progress,Medium,5,3.9,Spanish,0.48,No
U043,S155,2025-02-02 02:25:00,2,6,Calendar Agent,Resolve Conflict,548,Completed,High,5,3.2,English,0.84,Yes
U050,S156,2025-02-02 01:33:00,1,6,Executive Assistant,Schedule Meeting,137,Failed,Medium,4,4.9,Chinese,-0.77,Yes
U028,S157,2025-02-01 10:13:00,10,5,Task Management,Send Reminder,114,In Progress,High,7,4.0,German,0.74,No
U012,S158,2025-02-01 15:07:00,15,5,Executive Assistant,Send Email,241,Failed,Medium,9,4.8,German,-0.52,No
U033,S159,2025-02-02 00:05:00,0,6,Task Management,Send Reminder,147,Failed,Low,5,4.0,French,0.24,No
U021,S160,2025-02-01 17:34:00,17,5,Calendar Agent,Resolve Conflict,567,Completed,Medium,1,3.8,French,0.55,Yes
U037,S161,2025-02-01 16:47:00,16,5,Task Management,Track Progress,519,In Progress,Low,2,4.4,English,-0.8,Yes
U034,S162,2025-02-01 19:32:00,19,5,Calendar Agent,Resolve Conflict,214,In Progress,Low,5,4.2,French,0.74,No
U023,S163,2025-02-01 09:19:00,9,5,Task Management,Send Reminder,215,In Progress,Low,8,3.3,English,-0.62,Yes
U041,S164,2025-02-02 01:04:00,1,6,Task Management,Assign Task,354,Completed,Low,10,3.6,French,-0.46,Yes
U006,S165,2025-02-01 18:56:00,18,5,Executive Assistant,Generate Summary,376,Failed,High,5,3.4,French,0.67,No
U045,S166,2025-02-01 22:37:00,22,5,Task Management,Send Reminder,596,Completed,Low,10,4.3,English,-0.65,No
